1 12	R AAPIF1
1188 12	R BLKT6
1200 12	R BLKT7
1212 12	R BLKT8
1224 12	R BLKT9
1236 12	R CITY_CD
1248 17	C CITY_NM
1265 12	R CMSA2
1277 2	c CNTRY_CD
1279 13	c CNTY_NM
1292 9	c COMP_EI
1301 9	C DUNNSNBR
1310 12	R EEO_AREA
1322 12	R EEO_OFF
1334 9	C EI_NBR
1343 12	R FIP2
1355 2	c FIP2NM
1357 12	R FIP3
1369 12	R FIPS
1381 4	C FRAME_CD
1385 12	R FT1
1397 12	R FT10
1409 12	R FT11
1421 12	R FT2
1433 12	R FT3
1445 12	R FT4
1457 12	R FT5
1469 12	R FT6
1481 12	R FT7
1493 12	R FT8
1505 12	R FT9
1517 7	C HDQ_NBR
1524 12	R HISPF1
1536 12	R HISPF10
1548 12	R HISPF11
1560 12	R HISPF2
1572 12	R HISPF3
1584 12	R HISPF4
1596 12	R HISPF5
1608 12	R HISPF6
1620 12	R HISPF7
1632 12	R HISPF8
1644 12	R HISPF9
1656 12	R HISPM1
1668 12	R HISPM10
1680 12	R HISPM11
1692 12	R HISPM2
1704 12	R HISPM3
1716 12	R HISPM4
1728 12	R HISPM5
1740 12	R HISPM6
1752 12	R HISPM7
1764 12	R HISPM8
1776 12	R HISPM9
1788 12	R HISPT1
1800 12	R HISPT10
1812 12	R HISPT11
1824 12	R HISPT2
1836 12	R HISPT3
1848 12	R HISPT4
1860 12	R HISPT5
1872 12	R HISPT6
1884 12	R HISPT7
1896 12	R HISPT8
1908 12	R HISPT9
1920 2	C INDUSTRY
1922 12	R LSTTTEMP
1934 12	R LST_UNTS
1946 12	R MAILCODE
1958 12	R MT1
1970 12	R MT10
1982 12	R MT11
1994 12	R MT2
2006 12	R MT3
2018 12	R MT4
2030 12	R MT5
2042 12	R MT6
2054 12	R MT7
2066 12	R MT8
2078 12	R MT9
2090 12	R PLC_CD
2102 12	R PMSA_DAT
2114 1	C PNTMTHD
2115 35	C P_NAME
2150 12	R QUES_C1
2162 12	R QUES_C2
2174 12	R QUES_C3
2186 12	R REEL_NO
2198 1	C RESP_CD
2199 12	R SEQID
2211 12	R SIC2
2223 12	R SIC3
2235 12	R STRATUM
2247 12	R TOTAL1
2259 12	R TOTAL10
2271 12	R TOTAL11
2283 12	R TOTAL2
2295 12	R TOTAL3
2307 12	R TOTAL4
2319 12	R TOTAL5
2331 12	R TOTAL6
2343 12	R TOTAL7
2355 12	R TOTAL8
2367 12	R TOTAL9
2379 7	c UNIT_NBR
2386 35	C UNIT_NM
2421 12	R U_STATUS
2433 12	R WHF1
2445 12	R WHF10
2457 12	R WHF11
2469 12	R WHF2
2481 12	R WHF3
2493 12	R WHF4
2505 12	R WHF5
2517 12	R WHF6
2529 12	R WHF7
2541 12	R WHF8
2553 12	R WHF9
2565 12	R WHM1
2577 12	R WHM10
2589 12	R WHM11
2601 12	R WHM2
2613 12	R WHM3
2625 12	R WHM4
2637 12	R WHM5
2649 12	R WHM6
2661 12	R WHM7
2673 12	R WHM8
2685 12	R WHM9
2697 12	R WHT1
2709 12	R WHT10
2721 12	R WHT11
2733 12	R WHT2
2745 12	R WHT3
2757 12	R WHT4
2769 12	R WHT5
2781 12	R WHT6
2793 12	R WHT7
2805 12	R WHT8
2817 12 R WHT9	
2829 4 C YEAR	
2833 12 R ZIP1
2845 1 C ADD_FLAG	
2846 12 R SIC4_PRETEST	
